鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,10.1,商,,,1081107,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,140.68,1,1,1,有,有,23000000,208752.0,坡道機械,41.04,2200000,,RPVNMLKKKIOFFCA77CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段450巷22弄1~30號,18.37,住,,,1081024,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870925,122.04,2,2,1,有,有,17750000,145444.0,坡道平面,37.99,0,含增建或未登記建物。;,RPWSMLNKKIOFFCA68CA
士林區,房地(土地+建物)+車位,臺北市士林區基河路396巷1~30號,45.57,住,,,1081028,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990224,271.18,4,2,2,有,有,62000000,228622.0,坡道平面,0.0,0,,RPPPMLTJKIOFFEA38CA
內湖區,房地(土地+建物),臺北市內湖區星雲街168巷1~30號,15.78,住,,,1081027,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841116,69.99,2,2,1,有,有,14900000,212888.0,,0.0,0,含增建或未登記建物。,RPSNMLNKKIOFFCA87DA
大安區,房地(土地+建物),臺北市大安區建國南路二段61~90號,24.2,住,,,1081021,土地1建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750415,124.67,3,2,2,有,有,28300000,226999.0,,0.0,0,含增建或未登記建物。;,RPXOMLNJKIOFFFA58CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.98,住,,,1050903,土地2建物1車位2,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,284.24,3,2,2,有,無,66300000,290329.0,坡道平面,76.2,5900000,"1.本案為預售,雨遮不計價2.二停車位未拆分單價",RPPOMLQJKIOFFEA97CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.67,住,,,1051118,土地2建物1車位1,十九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,244.06,3,2,2,有,無,67420000,312779.0,坡道平面,38.1,3000000,"1.本案為預售,雨遮不計價",RPQOMLQJKIOFFEA08CA
北投區,房地(土地+建物)+車位,臺北市北投區中山路1~30號,13.27,其他,,,1081023,土地1建物1車位1,十五層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920127,119.34,1,1,2,有,有,20680000,202553.0,坡道平面,35.51,3700000,親友、員工或其他特殊關係間之交易。;,RPPOMLPJKIOFFEA87CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.67,住,,,1060321,土地2建物1車位1,二十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,245.37,3,2,2,有,無,69800000,284468.0,坡道平面,38.1,0,"1.登記權利人為二人2.本案為預售,雨遮不計價3.總價含裝潢",RPUPMLOJKIOFFEA38CA
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段31~60號,24.04,住,,,1081109,土地2建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980916,241.03000000000003,4,2,2,有,有,45880000,190350.0,坡道平面,33.02,0,含增建或未登記建物。;,RPXOMLSJKIOFFCA78CA
內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街150巷1~30號,33.44,住,,,1081020,土地1建物1車位1,十九層,二十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0870717,226.17,4,2,2,有,有,38000000,168015.0,坡道平面,0.0,0,含增建或未登記建物。;,RPTNMLOJKIOFFCA87CA
萬華區,房地(土地+建物)+車位,臺北市萬華區成都路91~120號,8.89,商,,,1081017,土地1建物1車位1,十三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,153.26999999999995,2,2,2,有,有,22500000,146800.0,坡道平面,35.18,0,,RPOOMLSKKIOFFBA87CA
大同區,房地(土地+建物)+車位,臺北市大同區延平北路三段1~30號,9.6,其他,,,1081104,土地3建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,121.36,3,2,2,有,有,25700000,233061.0,坡道機械,19.67,2000000,,RPVPMLPJKIOFFBA28CA
大同區,房地(土地+建物),臺北市大同區民權西路211~240號,6.02,其他,,,1081028,土地3建物1車位0,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,63.45,1,1,1,有,有,15330000,241608.0,,0.0,0,,RPWPMLPJKIOFFBA38CA
大同區,房地(土地+建物)+車位,臺北市大同區承德路二段61~90號,20.82,商,,,1081115,土地2建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060925,252.71,3,2,3,有,有,61880000,283076.0,坡道平面,42.06,2250000,,RPTNMLSJKIOFFBA18CA
大同區,房地(土地+建物)+車位,臺北市大同區承德路二段61~90號,14.97,商,,,1081115,土地2建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060925,167.57,3,2,2,有,有,44600000,283019.0,坡道機械,15.99,1700000,,RPUNMLSJKIOFFBA28CA
南區,房地(土地+建物)+車位,臺中市南區學府路151~180號,14.84,住,,,1081102,土地3建物1車位2,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831228,157.42000000000004,3,2,2,有,有,6300000,40020.0,坡道平面,0.0,0,,RPOOMLNJKIOFFAB27CA
中區,房地(土地+建物),臺中市中區民權路151~180號,1.93,商,,,1081105,土地2建物1車位0,十七層,二十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0860131,37.55,1,0,1,有,有,1750000,46605.0,,0.0,0,,RPRNMLSJKIOFFAB97CA
西區,房地(土地+建物)+車位,臺中市西區精誠30街31~60號,18.49,住,,,1081025,土地1建物1車位1,十八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840123,207.0,6,0,6,有,有,13800000,66667.0,坡道平面,0.0,0,,RPUPMLTJKIOFFAB58CA
南區,房地(土地+建物)+車位,臺中市南區文心南路901巷1~30號,11.29,住,,,1081113,土地1建物1車位1,十七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860204,144.2,3,2,2,有,有,6500000,45076.0,坡道機械,0.0,0,,RPTPMLRKKIOFFAB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十六路271~300號,15.26,商,,,1081028,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613,170.61,3,2,2,有,有,8800000,51580.0,坡道平面,30.97,0,親友、員工或其他特殊關係間之交易。;,RPWRMLOJKIOFFBB58CA
北區,房地(土地+建物)+車位,臺中市北區中清路一段631~660號,11.44,住,,,1081017,土地1建物1車位1,十一層，十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880616,142.4,3,2,2,有,有,8260000,58006.0,坡道平面,0.0,0,,RPQQMLPJKIOFFBB97CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路二段271~300號,8.89,住,,,1081106,土地1建物1車位1,八層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870417,113.49,2,2,2,有,有,6660000,58684.0,坡道平面,18.92,0,,RPXNMLQJKIOFFBB48CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德二路二段91~120號,23.06,商,,,1081029,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031006,182.3,3,2,2,有,有,14030000,86212.0,坡道平面,34.64,1300000,,RPUQMLQKKIOFFBB58CA
北屯區,房地(土地+建物),臺中市北屯區北屯路240巷91~120號,7.01,住,,,1081030,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810627,65.12,2,1,1,有,有,3200000,49140.0,,0.0,0,,RPQPMLKLKIOFFBB57CA
南屯區,房地(土地+建物)+車位,臺中市南屯區黎明路二段421~450號,19.14,住,,,1081020,土地1建物1車位1,九層，十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850612,164.66,4,2,2,有,有,9400000,57087.0,坡道機械,0.0,0,,RPXNMLOJKIOFFCB38CA
南屯區,房地(土地+建物)+車位,臺中市南屯區五權西路二段661~690號,14.05,住,,,1081113,土地1建物1車位1,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860227,150.93,3,2,2,有,有,8250000,54661.0,坡道機械,0.0,0,,RPUSMLQJKIOFFCB78CA
西屯區,房地(土地+建物),臺中市西屯區青海路二段241~270號,9.26,商,,,1081017,土地1建物1車位0,十四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830318,107.76,3,2,2,有,有,6100000,56607.0,,0.0,0,,RPVNMLRJKIOFFCB48CA
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段571~600號,19.34,商,,,1081030,土地1建物1車位2,三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991021,276.83000000000004,0,0,0,無,有,18520000,66900.0,坡道機械,26.46,0,,RPVRMLTJKIOFFCB09CA
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段661~690號,28.46,商,,,1081109,土地1建物1車位2,十九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031204,354.14,4,2,3,有,有,30000000,84712.0,坡道平面,59.9,0,,RPXOMLTKKIOFFCB09CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路61~90號,13.22,住,,,1081102,土地1建物1車位1,十四層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971127,146.54,3,2,2,有,有,10850000,74041.0,坡道平面,21.71,0,,RPXRMLOLKIOFFCB98CA
西屯區,房地(土地+建物)+車位,臺中市西屯區漢翔路331~360號,28.92,住,,,1081028,土地3建物1車位2,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020128,266.14,4,2,2,有,有,21000000,78906.0,坡道平面,59.6,0,,RPOQMLQLKIOFFCB18CA
南屯區,房地(土地+建物)+車位,臺中市南屯區五權西路二段1~30號,14.15,住,,,1081013,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970409,159.0,3,2,1,有,有,14250000,89623.0,坡道平面,19.83,0,,RPXPMLKMKIOFFCB48CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文山六街181~210號,30.71,住,,,1081111,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021024,188.68,3,2,2,有,有,11330000,60049.0,坡道平面,46.96,0,,RPRPMLRLKIOFFCB48CA
潭子區,房地(土地+建物)+車位,臺中市潭子區中山路二段137巷1~30號,13.76,住,,,1081107,土地1建物1車位1,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830610,147.91,4,2,2,有,有,6100000,41241.0,坡道機械,0.0,0,,RPUNMLTKKIOFFHB56CA
潭子區,房地(土地+建物)+車位,臺中市潭子區中山路一段7巷1~30號,7.36,住,,,1081112,土地1建物1車位1,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831205,107.22,3,2,1,有,有,5000000,46633.0,坡道平面,0.0,0,,RPSNMLMLKIOFFHB38CA
西屯區,房地(土地+建物),臺中市西屯區臺灣大道二段871~900號,5.09,住,,,1081110,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951124,57.11,1,2,1,有,有,4650000,81422.0,,0.0,0,,RPPRMLOLKIOFFCB18CA
南屯區,房地(土地+建物)+車位,臺中市南屯區向上路三段61~90號,8.91,其他,,,1081031,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840112,107.53,3,2,2,有,有,5500000,51149.0,坡道機械,0.0,0,,RPTSMLNKKIOFFCB48CA
西屯區,房地(土地+建物),臺中市西屯區福順路121~150號,20.79,住,,,1081028,土地1建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851209,129.38,3,2,2,有,有,6200000,47921.0,,0.0,0,,RPWRMLTJKIOFFCB56CA
西屯區,房地(土地+建物)+車位,臺中市西屯區皇城街31~60號,33.28,住,,,1081110,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960625,207.25,4,2,2,有,有,11400000,55006.0,坡道平面,0.0,0,,RPVOMLTJKIOFFCB78CA
西屯區,房地(土地+建物),臺中市西屯區漢口路二段121~150號,6.57,商,,,1081108,土地1建物1車位0,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860122,93.99,2,2,1,有,有,5400000,57453.0,,0.0,0,,RPWNMLRJKIOFFCB58CA
西屯區,房地(土地+建物),臺中市西屯區文心路二段541~570號,7.97,住,,,1081008,土地1建物1車位0,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941110,118.92,3,2,2,有,有,9900000,83249.0,,0.0,0,,RPVOMLQJKIOFFCB48CA
西屯區,房地(土地+建物),臺中市西屯區至善路61~90號,7.97,商,,,1081111,土地2建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820615,115.38,3,2,2,有,有,7580000,65696.0,,0.0,0,,RPXRMLQJKIOFFCB98CA
西屯區,房地(土地+建物)+車位,臺中市西屯區寶慶街50巷1~30號,7.21,商,,,1081030,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891104,107.02,2,2,2,有,有,6800000,63540.0,坡道平面,16.63,0,,RPWOMLOJKIOFFCB38CA
